============================= test session starts =============================
platform win32 -- Python 3.12.0, pytest-8.4.1, pluggy-1.6.0 -- C:\Users\bcmad\AppData\Local\Programs\Python\Python312\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\bcmad\Downloads\A1Betting7-13.2
configfile: pytest.ini
testpaths: tests
plugins: anyio-4.9.0, asyncio-1.1.0
asyncio: mode=Mode.AUTO, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 1357 items

tests/backend/bets/test_clv_drift.py::test_clv_non_zero_with_drift PASSED [  0%]
tests/backend/bets/test_clv_drift.py::test_clv_idempotent_with_drift PASSED [  0%]
tests/backend/bets/test_clv_drift.py::test_drift_bounds PASSED           [  0%]
tests/backend/bets/test_clv_idempotent.py::test_clv_update_idempotent PASSED [  0%]
tests/backend/bets/test_clv_update.py::test_clv_update_flow PASSED       [  0%]
tests/backend/bets/test_filters.py::test_filters_and_with_clv_only PASSED [  0%]
tests/backend/bets/test_place_bet.py::test_place_bet_success PASSED      [  0%]
tests/backend/bets/test_place_bet.py::test_place_bet_validation PASSED   [  0%]
tests/backend/ev/test_ev_calculator.py::test_fair_american_from_prob_roundtrip PASSED [  0%]
tests/backend/ev/test_ev_calculator.py::test_compute_ev_positive_edge PASSED [  0%]
tests/backend/ev/test_ev_calculator.py::test_compute_ev_negative_edge PASSED [  0%]
tests/backend/ev/test_ev_endpoint.py::test_ev_opportunities_default PASSED [  0%]
tests/backend/ev/test_ev_endpoint.py::test_ev_opportunities_min_edge_filter PASSED [  0%]
tests/backend/ev/test_ev_endpoint.py::test_ev_opportunities_invalid_min_edge PASSED [  1%]
tests/backend/ev/test_ev_endpoint_kelly.py::test_ev_with_kelly_fields PASSED [  1%]
tests/backend/ev/test_ev_endpoint_kelly.py::test_ev_without_kelly_when_bankroll_zero PASSED [  1%]
tests/backend/ev/test_ev_endpoint_kelly.py::test_ev_invalid_bankroll PASSED [  1%]
tests/backend/ev/test_ev_summary_endpoint.py::test_ev_summary PASSED     [  1%]
tests/backend/ev/test_kelly_calc.py::test_kelly_positive PASSED          [  1%]
tests/backend/ev/test_kelly_calc.py::test_kelly_capped PASSED            [  1%]
tests/backend/ev/test_kelly_calc.py::test_kelly_zero_when_no_edge PASSED [  1%]
tests/backend/ev/test_odds_normalizer.py::test_to_implied_prob_positive_odds PASSED [  1%]
tests/backend/ev/test_odds_normalizer.py::test_to_implied_prob_negative_odds PASSED [  1%]
tests/backend/ev/test_odds_normalizer.py::test_to_implied_prob_zero_error PASSED [  1%]
tests/backend/ev_engine/test_ev_details.py::test_compute_ev_details_even_money_no_edge PASSED [  1%]
tests/backend/ev_engine/test_ev_details.py::test_compute_ev_details_positive_edge PASSED [  1%]
tests/backend/ev_engine/test_ev_details.py::test_compute_ev_details_negative_edge PASSED [  1%]
tests/backend/ev_engine/test_ev_details.py::test_compute_ev_details_invalid_probability PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_american_to_decimal_positive PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_american_to_decimal_negative PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_american_to_decimal_edge_cases PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_decimal_to_american_greater_than_2 PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_decimal_to_american_less_than_2 PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_decimal_to_american_edge_cases PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_round_trip_conversions PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_implied_probability_calculations PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestOddsConversions::test_implied_probability_edge_cases PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_basic_positive_ev PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_basic_negative_ev PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_zero_ev PASSED [  2%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_high_probability_low_odds PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_low_probability_high_odds PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_ev_edge_cases PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVCalculations::test_american_odds_ev_calculation PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVClassification::test_ev_tier_classification PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVClassification::test_ev_tier_enum_values PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVClassification::test_ev_engine_classify_method PASSED [  3%]
tests/backend/ev_engine/test_ev_engine.py::TestEVAnalysis::test_analyze_opportunity_decimal PASSED [  3%]
